Metric,Value,fast_window,slow_window,slope_lookback,bb_std,vol_window,Sharpe,Ann. Return %,Max DD %,Calmar,Hit Rate
Sharpe,0.632,75,150,63,2.5,21,0.632,15.24,-45.65,0.334,0.398
Calmar,0.4,75,150,63,2.2,84,0.616,14.29,-35.69,0.4,0.361
Ann. Return,15.26,75,150,63,2.5,84,0.631,15.26,-45.29,0.337,0.399
Max Drawdown,-30.54,30,150,21,2.5,84,0.331,7.05,-30.54,0.231,0.45
Ann. Vol,18.1,75,200,63,1.5,21,0.099,1.8,-55.81,0.032,0.235
Hit Rate,0.478,75,100,10,2.5,21,0.265,5.48,-48.28,0.114,0.478
