,Ann. Return %,Ann. Vol %,Sharpe,Max DD %,Skewness,Hit Rate,Num Trades,Trades / Year,Ann. Turnover %,Alpha (ann) %,Beta,R²
Trend Strategy,15.26,24.19,0.631,-45.29,-0.068,0.399,510.0,34.6,1278.0,15.55,-0.237,0.023
EW Factor,1.23,15.65,0.078,-52.91,-0.217,0.508,,,,,,
