fast_window,slow_window,slope_lookback,bb_std,vol_window,Ann. Return %,Ann. Vol %,Sharpe,Max DD %,Calmar,Hit Rate,Skewness
75,200,42,2.2,84,-1.4,21.35,-0.065,-76.29,-0.018,0.317,-0.099
75,200,42,2.2,63,-1.42,21.33,-0.067,-76.39,-0.019,0.317,-0.1
75,200,42,2.2,21,-1.45,21.3,-0.068,-76.69,-0.019,0.317,-0.105
75,150,21,1.5,21,-1.44,20.51,-0.07,-70.85,-0.02,0.309,0.327
75,100,10,1.5,21,-1.62,21.6,-0.075,-69.21,-0.023,0.389,-0.075
30,150,42,1.5,84,-1.5,19.9,-0.075,-53.03,-0.028,0.306,0.038
30,150,42,1.5,63,-1.52,19.9,-0.077,-53.18,-0.029,0.307,0.039
75,100,10,1.5,63,-1.67,21.6,-0.077,-69.62,-0.024,0.388,-0.077
20,100,42,2.5,84,-1.61,20.78,-0.078,-69.61,-0.023,0.456,0.059
75,100,10,1.5,84,-1.68,21.61,-0.078,-69.67,-0.024,0.388,-0.077
20,100,42,2.5,63,-1.65,20.77,-0.079,-69.64,-0.024,0.455,0.059
75,150,21,1.5,63,-1.62,20.5,-0.079,-71.18,-0.023,0.309,0.335
30,150,42,1.5,21,-1.6,19.91,-0.08,-53.45,-0.03,0.308,0.044
75,150,21,1.5,84,-1.65,20.51,-0.08,-71.12,-0.023,0.31,0.336
20,100,10,1.8,84,-1.77,20.2,-0.087,-77.8,-0.023,0.434,0.126
20,100,10,1.8,63,-1.83,20.19,-0.091,-77.81,-0.024,0.434,0.125
20,100,42,2.5,21,-1.91,20.75,-0.092,-69.74,-0.027,0.457,0.059
20,100,10,1.8,21,-2.08,20.2,-0.103,-77.95,-0.027,0.434,0.121
20,200,21,2.5,21,-2.25,21.41,-0.105,-71.72,-0.031,0.423,-0.57
50,150,10,1.5,84,-2.14,20.14,-0.106,-60.36,-0.035,0.333,-0.014
20,100,63,2.5,84,-2.32,21.46,-0.108,-74.62,-0.031,0.444,0.171
50,150,10,1.5,63,-2.2,20.14,-0.109,-60.58,-0.036,0.333,-0.014
20,100,63,2.5,21,-2.37,21.39,-0.111,-75.42,-0.031,0.442,0.174
20,100,63,2.5,63,-2.38,21.44,-0.111,-74.95,-0.032,0.445,0.172
50,150,10,1.5,21,-2.32,20.14,-0.115,-60.92,-0.038,0.333,-0.012
20,200,21,2.5,63,-2.48,21.43,-0.116,-72.62,-0.034,0.422,-0.568
20,200,21,2.5,84,-2.49,21.44,-0.116,-72.6,-0.034,0.422,-0.566
20,200,21,2.2,21,-2.71,21.72,-0.125,-69.51,-0.039,0.403,-0.361
75,100,21,1.8,21,-2.84,21.74,-0.13,-71.29,-0.04,0.391,-0.01
20,150,42,1.5,84,-2.81,21.32,-0.132,-66.12,-0.042,0.34,0.038
75,100,21,1.8,63,-2.92,21.74,-0.134,-72.08,-0.041,0.393,-0.011
20,150,42,1.5,63,-2.86,21.32,-0.134,-66.3,-0.043,0.339,0.039
75,100,21,1.8,84,-2.94,21.74,-0.135,-72.22,-0.041,0.392,-0.012
20,200,21,2.2,63,-2.95,21.73,-0.136,-70.59,-0.042,0.403,-0.357
20,200,21,2.2,84,-2.97,21.74,-0.136,-70.63,-0.042,0.402,-0.355
30,150,42,1.8,84,-2.87,20.73,-0.138,-57.23,-0.05,0.348,0.053
20,150,21,1.5,21,-2.93,21.17,-0.139,-62.44,-0.047,0.356,0.194
20,150,21,1.5,84,-2.94,21.16,-0.139,-62.39,-0.047,0.355,0.198
30,150,42,1.8,63,-2.89,20.73,-0.139,-57.35,-0.05,0.348,0.054
20,100,10,1.5,84,-2.96,21.3,-0.139,-86.27,-0.034,0.41,0.162
20,150,42,1.5,21,-2.98,21.33,-0.14,-66.71,-0.045,0.342,0.043
20,150,21,1.5,63,-2.97,21.16,-0.14,-62.5,-0.048,0.355,0.197
20,100,10,1.5,63,-2.98,21.3,-0.14,-86.27,-0.035,0.41,0.162
30,150,42,1.8,21,-2.92,20.76,-0.141,-57.54,-0.051,0.35,0.058
20,100,10,1.5,21,-3.24,21.3,-0.152,-86.49,-0.037,0.409,0.16
30,200,42,1.5,21,-2.91,19.03,-0.153,-63.26,-0.046,0.285,-0.403
30,200,42,1.5,63,-3.0,19.04,-0.157,-63.57,-0.047,0.285,-0.404
30,200,42,1.5,84,-2.98,19.04,-0.157,-63.48,-0.047,0.286,-0.404
30,100,63,2.2,21,-3.6,22.24,-0.162,-77.46,-0.046,0.415,0.071
30,100,63,2.2,84,-3.64,22.28,-0.163,-77.64,-0.047,0.415,0.071
30,100,63,2.2,63,-3.64,22.27,-0.164,-77.63,-0.047,0.415,0.071
75,100,63,1.5,21,-3.86,23.17,-0.167,-76.66,-0.05,0.342,-0.58
75,100,63,1.5,63,-3.94,23.18,-0.17,-76.92,-0.051,0.343,-0.577
75,100,63,1.5,84,-3.97,23.18,-0.171,-77.02,-0.052,0.343,-0.576
75,100,42,1.5,21,-3.99,21.67,-0.184,-75.02,-0.053,0.346,-0.267
20,100,10,2.2,84,-3.65,19.86,-0.184,-80.7,-0.045,0.463,-0.031
20,100,10,2.2,63,-3.73,19.85,-0.188,-80.77,-0.046,0.464,-0.032
20,100,42,1.5,21,-3.9,20.78,-0.188,-78.45,-0.05,0.366,-0.006
75,100,42,1.5,63,-4.21,21.64,-0.194,-75.86,-0.055,0.345,-0.275
20,100,42,1.5,63,-4.04,20.76,-0.195,-79.14,-0.051,0.366,-0.009
75,100,42,1.5,84,-4.25,21.64,-0.197,-76.07,-0.056,0.345,-0.278
20,100,10,2.2,21,-3.91,19.87,-0.197,-81.05,-0.048,0.464,-0.036
20,100,42,1.5,84,-4.09,20.76,-0.197,-79.36,-0.052,0.365,-0.009
50,150,10,1.8,84,-4.63,20.89,-0.222,-68.28,-0.068,0.357,-0.114
50,150,10,1.8,63,-4.68,20.89,-0.224,-68.4,-0.068,0.358,-0.115
20,100,42,2.2,21,-5.0,22.02,-0.227,-81.82,-0.061,0.443,0.0
75,200,42,1.5,84,-4.34,19.05,-0.228,-79.91,-0.054,0.234,-0.462
50,150,10,1.8,21,-4.77,20.9,-0.228,-68.37,-0.07,0.357,-0.112
20,100,42,1.8,21,-4.58,20.07,-0.228,-73.41,-0.062,0.397,0.06
75,200,42,1.5,21,-4.34,19.05,-0.228,-79.79,-0.054,0.234,-0.46
75,200,42,1.5,63,-4.36,19.05,-0.229,-79.92,-0.055,0.234,-0.461
20,100,42,2.2,63,-5.07,22.02,-0.23,-82.3,-0.062,0.441,0.002
20,100,42,1.8,63,-4.64,20.04,-0.232,-74.1,-0.063,0.396,0.06
20,100,42,2.2,84,-5.11,22.02,-0.232,-82.43,-0.062,0.44,0.003
20,100,42,1.8,84,-4.69,20.04,-0.234,-74.4,-0.063,0.396,0.061
20,100,21,1.8,84,-4.88,20.02,-0.244,-76.39,-0.064,0.418,0.147
20,100,21,1.8,63,-4.92,20.01,-0.246,-76.25,-0.065,0.418,0.145
20,200,63,1.8,21,-4.93,20.08,-0.246,-67.81,-0.073,0.335,0.145
20,100,21,1.5,84,-5.28,21.08,-0.25,-81.44,-0.065,0.387,0.054
20,100,21,1.5,63,-5.27,21.07,-0.25,-81.31,-0.065,0.388,0.054
20,100,21,1.5,21,-5.36,21.05,-0.255,-81.0,-0.066,0.387,0.055
20,100,21,1.8,21,-5.1,20.01,-0.255,-75.9,-0.067,0.418,0.142
20,200,63,1.8,63,-5.17,20.08,-0.258,-68.54,-0.075,0.334,0.146
20,200,63,1.8,84,-5.19,20.08,-0.259,-68.59,-0.076,0.334,0.145
20,100,21,2.2,84,-5.32,20.43,-0.26,-85.74,-0.062,0.452,0.128
20,100,21,2.2,21,-5.35,20.45,-0.262,-85.21,-0.063,0.452,0.127
20,100,21,2.2,63,-5.35,20.43,-0.262,-85.66,-0.062,0.453,0.128
20,150,63,1.5,84,-5.61,21.09,-0.266,-79.27,-0.071,0.324,-0.239
20,150,63,1.5,63,-5.62,21.09,-0.267,-79.19,-0.071,0.324,-0.238
20,150,63,1.5,21,-5.65,21.09,-0.268,-79.05,-0.071,0.325,-0.237
50,200,42,1.8,84,-5.45,20.1,-0.271,-75.55,-0.072,0.272,-0.262
50,200,42,1.8,63,-5.45,20.1,-0.271,-75.63,-0.072,0.272,-0.262
50,200,42,1.8,21,-5.49,20.08,-0.273,-75.85,-0.072,0.272,-0.261
30,100,42,1.8,21,-5.62,20.48,-0.274,-75.43,-0.075,0.378,0.203
30,100,42,1.8,63,-5.69,20.46,-0.278,-75.77,-0.075,0.378,0.198
30,100,42,1.8,84,-5.76,20.46,-0.282,-75.99,-0.076,0.378,0.198
20,150,10,1.5,21,-5.72,20.18,-0.283,-73.65,-0.078,0.371,-0.114
20,200,42,2.2,21,-5.94,20.77,-0.286,-73.36,-0.081,0.393,-0.198
20,150,10,1.5,84,-5.79,20.2,-0.286,-73.63,-0.079,0.371,-0.109
30,100,42,1.5,21,-6.08,21.25,-0.286,-81.07,-0.075,0.349,-0.026
20,150,10,1.5,63,-5.79,20.19,-0.287,-73.68,-0.079,0.37,-0.11
20,100,63,1.5,84,-6.48,22.3,-0.291,-83.43,-0.078,0.363,-0.115
20,100,63,1.5,63,-6.51,22.29,-0.292,-83.37,-0.078,0.363,-0.116
30,100,21,1.8,84,-6.11,20.81,-0.294,-75.88,-0.081,0.401,0.16
30,100,21,1.8,63,-6.11,20.81,-0.294,-75.94,-0.08,0.401,0.159
50,200,42,1.5,84,-5.65,19.24,-0.294,-78.21,-0.072,0.231,-0.217
50,200,42,1.5,63,-5.68,19.24,-0.295,-78.28,-0.073,0.231,-0.218
20,150,42,1.8,84,-6.2,20.98,-0.295,-74.1,-0.084,0.37,0.052
20,200,42,2.2,63,-6.18,20.8,-0.297,-74.19,-0.083,0.392,-0.196
30,100,42,1.5,63,-6.31,21.23,-0.297,-81.62,-0.077,0.348,-0.027
20,200,42,2.2,84,-6.2,20.81,-0.298,-74.25,-0.084,0.392,-0.196
50,200,42,1.5,21,-5.74,19.25,-0.298,-78.43,-0.073,0.231,-0.217
30,100,21,1.8,21,-6.22,20.82,-0.299,-76.36,-0.081,0.401,0.158
20,150,42,1.8,63,-6.3,20.98,-0.3,-74.43,-0.085,0.37,0.053
30,100,42,1.5,84,-6.37,21.23,-0.3,-81.77,-0.078,0.348,-0.026
75,100,21,1.5,84,-6.47,21.47,-0.301,-79.51,-0.081,0.36,-0.156
20,100,63,1.5,21,-6.71,22.28,-0.301,-83.22,-0.081,0.363,-0.12
75,100,21,1.5,63,-6.52,21.46,-0.304,-79.61,-0.082,0.36,-0.156
20,150,42,1.8,21,-6.49,21.0,-0.309,-74.99,-0.087,0.372,0.056
75,100,21,1.5,21,-6.66,21.47,-0.31,-79.76,-0.084,0.359,-0.154
20,100,63,1.8,84,-6.91,22.2,-0.311,-86.45,-0.08,0.391,0.058
20,100,63,1.8,63,-6.93,22.2,-0.312,-86.35,-0.08,0.391,0.056
30,100,10,1.8,84,-6.51,20.71,-0.314,-83.97,-0.078,0.416,0.097
20,100,63,1.8,21,-7.01,22.19,-0.316,-86.04,-0.081,0.393,0.051
30,100,10,1.8,63,-6.55,20.71,-0.316,-83.97,-0.078,0.415,0.096
30,100,63,1.8,63,-7.0,22.02,-0.318,-82.84,-0.085,0.376,-0.163
30,100,63,1.8,84,-7.0,22.02,-0.318,-82.85,-0.084,0.376,-0.162
75,100,42,1.8,21,-7.1,22.2,-0.32,-80.32,-0.088,0.367,-0.065
30,100,63,1.8,21,-7.09,22.01,-0.322,-82.88,-0.086,0.375,-0.162
30,100,21,1.5,84,-7.02,21.51,-0.326,-81.4,-0.086,0.373,0.106
30,100,21,1.5,63,-7.02,21.51,-0.326,-81.36,-0.086,0.373,0.105
75,100,42,1.8,63,-7.22,22.17,-0.326,-80.59,-0.09,0.367,-0.072
75,100,42,1.8,84,-7.26,22.16,-0.327,-80.72,-0.09,0.367,-0.074
30,100,10,1.8,21,-6.83,20.71,-0.33,-84.31,-0.081,0.415,0.096
30,200,42,1.8,21,-6.66,20.12,-0.331,-77.66,-0.086,0.316,-0.378
30,100,21,1.5,21,-7.17,21.51,-0.333,-81.51,-0.088,0.373,0.102
30,200,42,1.8,63,-6.75,20.13,-0.335,-77.77,-0.087,0.317,-0.38
75,200,42,1.8,84,-6.71,19.98,-0.336,-77.02,-0.087,0.265,-0.474
30,200,42,1.8,84,-6.77,20.13,-0.336,-77.8,-0.087,0.317,-0.38
75,200,42,1.8,21,-6.73,19.96,-0.337,-76.87,-0.088,0.265,-0.468
75,200,42,1.8,63,-6.73,19.97,-0.337,-77.05,-0.087,0.265,-0.472
20,150,63,1.8,84,-7.19,21.14,-0.34,-81.89,-0.088,0.356,-0.072
20,150,63,1.8,63,-7.22,21.13,-0.342,-81.83,-0.088,0.356,-0.071
20,150,63,1.8,21,-7.27,21.14,-0.344,-81.79,-0.089,0.357,-0.069
20,150,10,1.8,84,-7.08,19.95,-0.355,-79.59,-0.089,0.393,-0.041
20,150,10,1.8,21,-7.11,19.94,-0.356,-79.37,-0.09,0.394,-0.047
20,150,10,1.8,63,-7.11,19.95,-0.356,-79.63,-0.089,0.393,-0.043
20,200,42,1.5,21,-7.87,20.02,-0.393,-82.06,-0.096,0.313,-0.484
20,100,63,2.2,21,-8.66,21.69,-0.399,-89.18,-0.097,0.425,-0.034
20,200,42,1.5,84,-8.01,20.01,-0.4,-82.45,-0.097,0.313,-0.486
20,200,42,1.5,63,-8.0,20.01,-0.4,-82.41,-0.097,0.312,-0.486
20,100,63,2.2,84,-8.71,21.73,-0.401,-89.13,-0.098,0.424,-0.032
20,100,63,2.2,63,-8.71,21.72,-0.401,-89.13,-0.098,0.424,-0.033
30,100,63,1.5,63,-9.52,22.01,-0.432,-86.31,-0.11,0.341,-0.167
30,100,63,1.5,21,-9.53,22.0,-0.433,-86.35,-0.11,0.339,-0.169
30,100,63,1.5,84,-9.54,22.02,-0.433,-86.32,-0.111,0.341,-0.166
30,100,10,1.5,63,-10.29,21.73,-0.473,-89.48,-0.115,0.391,0.066
30,100,10,1.5,84,-10.29,21.74,-0.473,-89.48,-0.115,0.392,0.067
30,100,10,1.5,21,-10.54,21.72,-0.485,-89.59,-0.118,0.389,0.065
20,200,42,1.8,21,-12.22,20.92,-0.584,-89.16,-0.137,0.336,-0.376
20,200,42,1.8,63,-12.31,20.92,-0.588,-89.31,-0.138,0.335,-0.377
20,200,42,1.8,84,-12.33,20.92,-0.589,-89.34,-0.138,0.335,-0.377
