commodity_label,commodity_name,n_features,n_train,n_validation,validation_start,validation_end,n_test_rows,best_epoch,best_validation_mse_std_target,train_corr,validation_corr,test_corr,test_directional_accuracy,test_r2
Gold,GOLD 100 OZ,13,3956,240,2019-01-01,2019-12-02,1664,314,2.168427957833531,0.8522845029464532,-0.01025946528592647,-0.014389536186569655,0.5410833840535606,-2.2398747368755787
Silver,SILVER,13,3956,240,2019-01-01,2019-12-02,1664,314,1.145788296157294,0.835779437478812,0.1348638939250427,-0.01288297383909992,0.5185636031649422,-1.3335153643065536
Brent_Crude,BRENT CRUDE,13,3956,240,2019-01-01,2019-12-02,1664,361,1.985100654940593,0.8685476283779693,0.002340858478740251,-0.08103776272828558,0.48326232501521604,-2.1198246324237022
Natural_Gas,NATURAL GAS,13,3956,240,2019-01-01,2019-12-02,1664,400,1.872806975627802,0.8481313984414823,-0.15774511202927363,0.00743328877540168,0.5100426049908704,-1.080726184841847
