ann_return_net,ann_vol_net,sharpe_net,max_drawdown,entries,short_entries,ann_turnover,tx_cost_bps,sharpe_gross,ann_return_gross,ann_cost,long_contribution_ann,short_contribution_ann,sar_initial_mult,sar_af_start,sar_af_step,sar_af_max,sar_grace_period,passes_basic_filter,baseline_sharpe_net,baseline_max_drawdown,baseline_entries
0.04676900959528634,0.1092218910919663,0.42820179295289995,-0.20583227667094794,1028,370,12.099555622689588,2.0,0.45031390659045034,0.04918892071982426,0.0024199111245379185,0.03700453433347612,0.01218438638634814,2.5,0.01,0.03,0.2,5,True,0.2766457097912571,-0.26117110225340257,982
0.04683744098427931,0.10951149679453012,0.42769428192692505,-0.2058322766709485,1028,370,12.099555622689588,2.0,0.44974836756525893,0.049257352108817216,0.0024199111245379185,0.037051266542802636,0.012206085566014593,2.5,0.01,0.03,0.15,5,True,0.2766457097912571,-0.26117110225340257,982
0.049978048932746585,0.11717752053018374,0.4265156721751315,-0.22340148361303314,975,362,11.458387950353448,2.0,0.44604254616989564,0.05226972652281728,0.0022916775900706896,0.036926615110715245,0.015343111412102033,3.5,0.02,0.02,0.25,5,True,0.2766457097912571,-0.26117110225340257,982
0.04985174134533442,0.11740587339424405,0.424610284852908,-0.22340148361303291,975,362,11.458387950353448,2.0,0.44409841988651383,0.05214341893540511,0.0022916775900706896,0.03691086644085329,0.015232552494551813,3.5,0.02,0.02,0.15,5,True,0.2766457097912571,-0.26117110225340257,982
0.049514858184917354,0.11719690875936657,0.42249286870341657,-0.22340148361303314,975,362,11.458387950353448,2.0,0.4420167334067517,0.05180653577498806,0.0022916775900706896,0.03668668827067287,0.015119847504315175,3.5,0.02,0.02,0.2,5,True,0.2766457097912571,-0.26117110225340257,982
0.04582981796662558,0.10912958862592033,0.4199577634597638,-0.20351968236471463,1028,370,12.099555622689588,2.0,0.44208925641772656,0.04824972909116349,0.0024199111245379185,0.03660488104191778,0.011644848049245721,2.5,0.01,0.03,0.25,5,True,0.2766457097912571,-0.26117110225340257,982
0.047354710004711614,0.11321816958765839,0.41826069240633285,-0.2164848574480569,979,362,11.524886375745652,2.0,0.4385943678625076,0.04965968727986073,0.00230497727514913,0.036557045655885544,0.013102641623975205,4.0,0.03,0.03,0.15,5,True,0.2766457097912571,-0.26117110225340257,982
0.046845270870404486,0.11291673019193756,0.41486563408961796,-0.21648485744805668,979,362,11.524886375745652,2.0,0.4352560892022151,0.049150248145553604,0.00230497727514913,0.0363217985824826,0.012828449563071023,4.0,0.03,0.03,0.2,5,True,0.2766457097912571,-0.26117110225340257,982
0.04650868485475032,0.11266356581538547,0.4128103395108327,-0.21420328316055282,979,362,11.524886375745652,2.0,0.43324490790719217,0.048813662129899446,0.00230497727514913,0.036205293705309935,0.012608368424589511,4.0,0.03,0.03,0.25,5,True,0.2766457097912571,-0.26117110225340257,982
0.04289446564008153,0.10623209565268625,0.40378065947526914,-0.20457546013429406,1046,370,12.314281433402215,2.0,0.4269162555479034,0.04535732192676196,0.0024628562866804427,0.0355534277888174,0.009803894137944554,2.5,0.02,0.03,0.15,5,True,0.2766457097912571,-0.26117110225340257,982
0.04212351875653472,0.1056845763685668,0.39857773200161395,-0.20225920601328629,1046,370,12.314281433402215,2.0,0.4218374975947445,0.044586375043215165,0.0024628562866804427,0.03432954861393967,0.010256826429275492,2.5,0.02,0.03,0.25,5,True,0.2766457097912571,-0.26117110225340257,982
0.044353018006632036,0.11141577513882807,0.39808562074236414,-0.22628876430833667,1028,370,12.099555622689588,2.0,0.4197665635375606,0.046772929131169934,0.0024199111245379185,0.0372600874327958,0.009512841698374144,2.5,0.01,0.03,0.1,5,True,0.2766457097912571,-0.26117110225340257,982
0.04479566106929229,0.11259943049300603,0.39783203940871364,-0.22004879979758396,1023,370,12.03708553667815,2.0,0.4191718553352069,0.047203078176627916,0.00240741710733563,0.0342144922219166,0.01298858595471133,2.5,0.01,0.02,0.25,5,True,0.2766457097912571,-0.26117110225340257,982
0.04509500985770917,0.11420123930054653,0.3948732092042487,-0.22622529026555482,979,362,11.504609023721072,2.0,0.4149955127540583,0.04739593166245339,0.002300921804744214,0.03767673046792901,0.009719201194524378,3.5,0.02,0.03,0.15,5,True,0.2766457097912571,-0.26117110225340257,982
0.04632423924904719,0.11793953965564101,0.3927795494564788,-0.22753661224915045,975,362,11.458387950353448,2.0,0.4121827164439729,0.048615916839117874,0.0022916775900706896,0.03476914104101135,0.013846775798106526,3.5,0.02,0.02,0.1,5,True,0.2766457097912571,-0.26117110225340257,982
0.04152670537800279,0.10579887262572099,0.39250612362297654,-0.20457546013429295,1046,370,12.314281433402215,2.0,0.41574156804447265,0.04398956166468324,0.0024628562866804427,0.034511297390359935,0.0094782642743233,2.5,0.02,0.03,0.2,5,True,0.2766457097912571,-0.26117110225340257,982
0.04409205020629686,0.11280966716583192,0.3908534730581279,-0.22004879979758352,1023,370,12.03708553667815,2.0,0.41215283419798543,0.04649946731363248,0.00240741710733563,0.03430717501135495,0.012192292302277547,2.5,0.01,0.02,0.15,5,True,0.2766457097912571,-0.26117110225340257,982
0.045538555106996476,0.11675295381204778,0.39004199568522896,-0.24436465072199098,954,360,11.203246231056832,2.0,0.40921340871010153,0.047779204353207844,0.0022406492462113676,0.032959880026325994,0.014819324326881841,4.0,0.03,0.03,0.25,10,True,0.2766457097912571,-0.26117110225340257,982
0.04378073017210721,0.11262577876249542,0.3887274357004159,-0.22004879979758396,1023,370,12.03708553667815,2.0,0.4100613967494988,0.046188147279442836,0.00240741710733563,0.033974565381874225,0.012213581897568626,2.5,0.01,0.02,0.2,5,True,0.2766457097912571,-0.26117110225340257,982
0.04170895448635808,0.10749355563030401,0.3880135347816117,-0.20266617367555084,1063,376,12.514310908904132,2.0,0.411258100488969,0.044211816668138906,0.002502862181780826,0.03428809198024866,0.009923724687890247,2.0,0.01,0.02,0.25,5,True,0.2766457097912571,-0.26117110225340257,982
0.041520455683049295,0.10751770173874958,0.38617320693793483,-0.20266617367555084,1063,376,12.514310908904132,2.0,0.4094117247725638,0.044023317864830123,0.002502862181780826,0.03404816514020628,0.00997515272462383,2.0,0.01,0.02,0.2,5,True,0.2766457097912571,-0.26117110225340257,982
0.041562859112970016,0.10768046974204855,0.3859832633766825,-0.2026661736755505,1063,376,12.514310908904132,2.0,0.4091867801871577,0.044065721294750844,0.002502862181780826,0.0345032494865923,0.009562471808158546,2.0,0.01,0.02,0.15,5,True,0.2766457097912571,-0.26117110225340257,982
0.04384277498627034,0.11372769194451943,0.3855065924283284,-0.22397207984730905,979,362,11.504609023721072,2.0,0.4057136853918566,0.046143696791014564,0.002300921804744214,0.03746073755839349,0.008682959232621069,3.5,0.02,0.03,0.25,5,True,0.2766457097912571,-0.26117110225340257,982
0.0437173487161385,0.11387441155389924,0.3839084489621808,-0.22622529026555482,979,362,11.504609023721072,2.0,0.40408986888260695,0.046018270520882726,0.002300921804744214,0.03720531486249333,0.008812955658389394,3.5,0.02,0.03,0.2,5,True,0.2766457097912571,-0.26117110225340257,982
0.04487253496683727,0.11691523435494895,0.3838040030831777,-0.24231747893969446,954,360,11.203246231056832,2.0,0.40294826665648037,0.04711318421304862,0.0022406492462113676,0.032505276271883245,0.014607907941165376,4.0,0.03,0.03,0.2,10,True,0.2766457097912571,-0.26117110225340257,982
0.04204513627772621,0.10980171413841126,0.3829187604915342,-0.23938427994346811,999,364,11.731285389170578,2.0,0.4042706090918003,0.04439139335556031,0.0023462570778341155,0.03815187172616363,0.006239521629396674,3.5,0.03,0.03,0.15,5,True,0.2766457097912571,-0.26117110225340257,982
0.04464097735984187,0.11714081631306138,0.38108815325768164,-0.23856528708066005,954,360,11.203246231056832,2.0,0.4001946196919597,0.04688162660605324,0.0022406492462113676,0.033090499044297124,0.013791127561756107,4.0,0.03,0.03,0.15,10,True,0.2766457097912571,-0.26117110225340257,982
0.04310351068174126,0.11345892958499526,0.3799040837015055,-0.22505975524081967,986,367,11.58993494743506,2.0,0.40030246309787004,0.04542149767122826,0.002317986989487012,0.034660205907236744,0.010761291763991515,3.0,0.01,0.03,0.2,5,True,0.2766457097912571,-0.26117110225340257,982
