Strategy,Ann Return,Ann Vol,Sharpe,Max Drawdown,Calmar,Skew,Total Return,Obs
NN Signal Vol-Parity,-0.011839553261272395,0.20913433187900482,-0.056612193487782764,-0.3958996081118201,-0.029905443245420858,0.2845807789383275,-0.07563209695945217,1664
Ridge Signal Vol-Parity,0.3065923877149246,0.22058871941454217,1.3898824406281616,-0.345807855798829,0.8865975210617607,0.25061380858446863,4.846467163196231,1664
Static B&H Vol-Parity Benchmark,0.18932434648598662,0.2159309300716236,0.8767819710830141,-0.3037333156932184,0.623324267388603,-0.6445253654699193,2.142107868890571,1664
Dynamic Long-Only Vol-Parity,0.19176874872513427,0.2040749098618667,0.9396978239752151,-0.290275159950076,0.6606447095167092,-0.37630454599155627,2.1849970361619753,1664
Full_23_Commodity_Market_Factor,0.10424541267916587,0.16195507307119844,0.6436687082555151,-0.4235809255322931,0.2461050684663523,-2.3673825055133464,0.9247294925303391,1664
Four_Asset_Equal_Weight_Factor,0.17205505587998848,0.26461712047965147,0.6502037947057896,-0.3971028648037832,0.43327578602336314,0.08053715115269064,1.8528291661016363,1664
