Strategy,Benchmark,Annualised Alpha,Market Beta,R_squared,Alpha t-stat,Beta t-stat,Obs
NN Signal Vol-Parity,Full 23-Commodity Market Factor,0.007718501543780646,0.019408961624490097,0.0002259139499208862,0.09472982959153216,0.612824467214785,1664
NN Signal Vol-Parity,Four-Asset Equal-Weight Factor,0.015481466500089547,-0.02879212373246759,0.0013271885061376665,0.19008991077770981,-1.4861758587902132,1664
Ridge Signal Vol-Parity,Full 23-Commodity Market Factor,0.27240809679879907,0.17266938616676544,0.016071381261918205,3.1951036250831173,5.210271031975462,1664
Ridge Signal Vol-Parity,Four-Asset Equal-Weight Factor,0.29827324645416003,-0.03322090959593149,0.0015881529226523527,3.4726423304456473,-1.6259485758349692,1664
Static B&H Vol-Parity Benchmark,Full 23-Commodity Market Factor,0.08758698201159226,0.9714001218371625,0.530830305622037,1.5198116274909583,43.36390542708916,1664
Static B&H Vol-Parity Benchmark,Four-Asset Equal-Weight Factor,0.05598443576899614,0.7271289461296503,0.7940156000431825,1.4659501452687123,80.0410656152683,1664
Dynamic Long-Only Vol-Parity,Full 23-Commodity Market Factor,0.09415912630900344,0.9084423301074891,0.5197621032700073,1.7087346429240187,42.412082855289775,1664
Dynamic Long-Only Vol-Parity,Four-Asset Equal-Weight Factor,0.060203572399981704,0.7027157783030263,0.8302637213932786,1.8375079512134842,90.16462950451853,1664
