commodity_label,commodity_name,feature,coefficient,abs_coefficient
Silver,SILVER,own_ret_21d,-0.003228604815740373,0.003228604815740373
Silver,SILVER,own_ret_252d,-0.0029332497003842902,0.0029332497003842902
Silver,SILVER,commodity_fx_strength_ret_21d,-0.002825979317084837,0.002825979317084837
Silver,SILVER,spx_realised_vol_60d,0.0020519809427665377,0.0020519809427665377
Silver,SILVER,own_ret_5d,-0.0020189074394240973,0.0020189074394240973
Silver,SILVER,easi_global_chg_21d,0.001967882141716859,0.001967882141716859
Silver,SILVER,global_10y_chg_21d,-0.0016088043067829752,0.0016088043067829752
Silver,SILVER,own_realised_vol_21d,-0.0015186676362496452,0.0015186676362496452
Silver,SILVER,fx_rr_level,-0.0014960669711442786,0.0014960669711442786
Silver,SILVER,us_curve_10y_minus_3m,0.001488739900860973,0.001488739900860973
Silver,SILVER,own_drawdown_from_63d_high,0.0012169712424474524,0.0012169712424474524
Silver,SILVER,own_realised_vol_60d,-0.0011810679557651025,0.0011810679557651025
Silver,SILVER,usd_strength_ret_21d,0.0010741623526032292,0.0010741623526032292
Silver,SILVER,spx_realised_vol_21d,-0.0010103308034765132,0.0010103308034765132
Silver,SILVER,credit_hy_chg_21d,0.0009380956817082802,0.0009380956817082802
Silver,SILVER,global_equity_ret_21d,0.0008953487104812252,0.0008953487104812252
Silver,SILVER,credit_hy_level,-0.0008204549888256389,0.0008204549888256389
Silver,SILVER,em_fx_stress_ret_21d,-0.0006633742694473434,0.0006633742694473434
Silver,SILVER,aux_XAU_CURNCY_vol_21d,-0.0005674928379260956,0.0005674928379260956
Silver,SILVER,aux_CO1_COMDTY_ret_21d,0.00039649168973067395,0.00039649168973067395
Silver,SILVER,fx_rr_chg_21d,-0.0002917992662918332,0.0002917992662918332
Silver,SILVER,eur_1m_forward_chg_21d,0.00028375986554588206,0.00028375986554588206
Silver,SILVER,credit_hy_minus_ig,-0.00026763431526309356,0.00026763431526309356
Silver,SILVER,credit_ig_level,0.0002449886544630926,0.0002449886544630926
Brent_Crude,BRENT CRUDE,imm_positioning_level,0.019041033748583926,0.019041033748583926
Brent_Crude,BRENT CRUDE,commodity_market_ret_63d,0.011898188598211182,0.011898188598211182
Brent_Crude,BRENT CRUDE,fx_atm_vol_chg_21d,-0.00808663546647953,0.00808663546647953
