Date,EUR1M BGN Curncy
2005-10-05,
2005-10-06,0.017222704452387827
2005-10-07,-0.0040182172296433505
2005-10-10,-0.0053265648430260715
2005-10-11,-0.00609066913790679
2005-10-12,0.0025474334607882287
2005-10-13,0.00018268343700600376
2005-10-14,0.0040897011097651426
2005-10-17,-0.004030874431026565
2005-10-18,-0.005534892988194651
2005-10-19,0.0027164816303566486
2005-10-20,0.00265833671210447
2005-10-21,-0.00577919489836598
2005-10-24,0.0027911405091201047
2005-10-25,0.009965003806106765
2005-10-26,-0.0031137979346349542
2005-10-27,0.005925265387863865
2005-10-28,-0.0059290130208032865
2005-10-31,-0.006373857999874333
2005-11-01,0.002363589892593554
2005-11-02,0.00441037959165369
2005-11-03,-0.010630222081092211
2005-11-04,-0.011069570966364184
2005-11-07,-0.0006795195019562161
2005-11-08,-0.001853034333148762
2005-11-09,-0.0015446613014469257
2005-11-10,-0.0066218533891279074
2005-11-11,0.0040211247872827816
2005-11-14,-0.0038408032162686734
2005-11-15,0.002684578662938142
2005-11-16,-0.00423032888549657
2005-11-17,0.006799334096419196
2005-11-18,0.0020902619285130264
2005-11-21,-0.004255748525030079
2005-11-22,0.0076861044666436396
2005-11-23,0.0007461847817176182
2005-11-24,-0.0029664695212779923
2005-11-25,-0.0054119382784953984
2005-11-28,0.010659668083925045
2005-11-29,-0.005847406287731283
2005-11-30,0.0007551417013655914
2005-12-01,-0.004391930230470353
2005-12-02,-0.0016280826392290892
2005-12-05,0.006092687922487849
2005-12-06,-0.0007198186395767081
2005-12-07,-0.004722869348637082
2005-12-08,0.007945982306310162
2005-12-09,-0.0005127719930189123
2005-12-12,0.012186061843122875
2005-12-13,-0.0008091364785278721
2005-12-14,0.004548706171799699
2005-12-15,-0.0018019262141997228
2005-12-16,0.0028386148293040314
2005-12-19,-0.00044710862828234443
2005-12-20,-0.012328424301329743
2005-12-21,-0.0019075342552241636
2005-12-22,0.0026230227174011134
2005-12-23,0.00020020777866092132
2005-12-26,-0.0020378417884564515
2005-12-27,-0.0015582598729120267
2005-12-28,0.0005013796380781699
2005-12-29,0.0005348744015354345
2005-12-30,0.0007630955201654022
2006-01-02,-0.002256366357055173
2006-01-03,0.016689945667319295
2006-01-04,0.008327588354998028
2006-01-05,-0.0007257145116541519
2006-01-06,0.0033937985071241794
2006-01-09,-0.005065674672941056
2006-01-10,-0.0019536830145181483
2006-01-11,0.005164311480292616
2006-01-12,-0.007556040634707384
2006-01-13,0.008808683781439175
2006-01-16,-0.001058894425430723
2006-01-17,-0.001784252000905262
2006-01-18,0.000491381449690742
2006-01-19,-0.0013234413099926234
2006-01-20,0.003146306988135228
2006-01-23,0.014296995171545701
2006-01-24,-0.0022480092710107646
2006-01-25,-0.0033170259095405275
2006-01-26,-0.002775154578474992
2006-01-27,-0.0093160565407433
2006-01-30,-0.00032770836102069545
2006-01-31,0.005453137205357894
2006-02-01,-0.007484088202685424
2006-02-02,0.0021554987559337935
2006-02-03,-0.005541877005338813
2006-02-06,-0.004740831762742426
2006-02-07,0.0011704151094500403
2006-02-08,-0.0016689955946181945
2006-02-09,0.0015841484993155408
2006-02-10,-0.006339904901426552
2006-02-13,-0.0006306555631031552
2006-02-14,0.0015893821885137882
2006-02-15,-0.002268857996970297
2006-02-16,0.00140572568699171
2006-02-17,0.0028544642512733365
2006-02-20,-0.0003411593732701723
2006-02-21,-0.002102024735804009
2006-02-22,0.00024476090129010863
2006-02-23,0.0003226366030808503
2006-02-24,-0.003348474211638308
2006-02-27,-0.0023258335637872385
2006-02-28,0.006184946845348538
2006-03-01,0.00010717978991081623
2006-03-02,0.009728035311955985
2006-03-03,0.0005024867288776491
2006-03-06,-0.002200383223051605
2006-03-07,-0.010786965936377957
2006-03-08,0.0030580218075073606
