Date,IMMBENCN Index,IMMBENCN Index.1,IMM6ANCN Index,IMM6MNCN Index,IMMPFNCN Index,IMM3CNCN Index,IMM6ZNCN Index,IMM4SNCN Index
2005-12-22,-1063.0,-1063.0,20282.0,67590.0,-1488.0,56183.0,6007.0,-39861.0
2005-12-23,4504.0,4504.0,7909.0,36289.0,3247.0,48111.0,6007.0,-34067.0
2005-12-26,4504.0,4504.0,7909.0,36289.0,3247.0,48111.0,6007.0,-34067.0
2005-12-27,4504.0,4504.0,7909.0,36289.0,3247.0,48111.0,6007.0,-34067.0
2005-12-28,4504.0,4504.0,7909.0,36289.0,3247.0,48111.0,6007.0,-34067.0
2005-12-29,4504.0,4504.0,7909.0,36289.0,3247.0,48111.0,6007.0,-34067.0
2005-12-30,4578.0,4578.0,904.0,30635.0,3405.0,42292.0,4441.0,-38326.0
2006-01-02,4578.0,4578.0,904.0,30635.0,3405.0,42292.0,4441.0,-38326.0
2006-01-03,4578.0,4578.0,904.0,30635.0,3405.0,42292.0,4441.0,-38326.0
2006-01-04,4578.0,4578.0,904.0,30635.0,3405.0,42292.0,4441.0,-38326.0
2006-01-05,4578.0,4578.0,904.0,30635.0,3405.0,42292.0,4441.0,-38326.0
2006-01-06,11231.0,11231.0,7110.0,35814.0,10522.0,36687.0,4837.0,-16511.0
2006-01-09,11231.0,11231.0,7110.0,35814.0,10522.0,36687.0,4837.0,-16511.0
2006-01-10,11231.0,11231.0,7110.0,35814.0,10522.0,36687.0,4837.0,-16511.0
2006-01-11,11231.0,11231.0,7110.0,35814.0,10522.0,36687.0,4837.0,-16511.0
2006-01-12,11231.0,11231.0,7110.0,35814.0,10522.0,36687.0,4837.0,-16511.0
2006-01-13,21961.0,21961.0,21734.0,40139.0,21218.0,23317.0,3744.0,-240.0
2006-01-16,21961.0,21961.0,21734.0,40139.0,21218.0,23317.0,3744.0,-240.0
2006-01-17,21961.0,21961.0,21734.0,40139.0,21218.0,23317.0,3744.0,-240.0
2006-01-18,21961.0,21961.0,21734.0,40139.0,21218.0,23317.0,3744.0,-240.0
2006-01-19,21961.0,21961.0,21734.0,40139.0,21218.0,23317.0,3744.0,-240.0
2006-01-20,21211.0,21211.0,22709.0,44070.0,20810.0,26933.0,4827.0,1460.0
2006-01-23,21211.0,21211.0,22709.0,44070.0,20810.0,26933.0,4827.0,1460.0
2006-01-24,21211.0,21211.0,22709.0,44070.0,20810.0,26933.0,4827.0,1460.0
2006-01-25,21211.0,21211.0,22709.0,44070.0,20810.0,26933.0,4827.0,1460.0
2006-01-26,21211.0,21211.0,22709.0,44070.0,20810.0,26933.0,4827.0,1460.0
2006-01-27,37464.0,37464.0,19376.0,44557.0,37512.0,27133.0,3849.0,4363.0
2006-01-30,37464.0,37464.0,19376.0,44557.0,37512.0,27133.0,3849.0,4363.0
2006-01-31,37464.0,37464.0,19376.0,44557.0,37512.0,27133.0,3849.0,4363.0
2006-02-01,37464.0,37464.0,19376.0,44557.0,37512.0,27133.0,3849.0,4363.0
2006-02-02,37464.0,37464.0,19376.0,44557.0,37512.0,27133.0,3849.0,4363.0
2006-02-03,36382.0,36382.0,29258.0,66098.0,34785.0,37484.0,3774.0,983.0
2006-02-06,36382.0,36382.0,29258.0,66098.0,34785.0,37484.0,3774.0,983.0
2006-02-07,36382.0,36382.0,29258.0,66098.0,34785.0,37484.0,3774.0,983.0
2006-02-08,36382.0,36382.0,29258.0,66098.0,34785.0,37484.0,3774.0,983.0
2006-02-09,36382.0,36382.0,29258.0,66098.0,34785.0,37484.0,3774.0,983.0
2006-02-10,18965.0,18965.0,20781.0,60973.0,16305.0,44845.0,4101.0,-14690.0
2006-02-13,18965.0,18965.0,20781.0,60973.0,16305.0,44845.0,4101.0,-14690.0
2006-02-14,18965.0,18965.0,20781.0,60973.0,16305.0,44845.0,4101.0,-14690.0
2006-02-15,18965.0,18965.0,20781.0,60973.0,16305.0,44845.0,4101.0,-14690.0
2006-02-16,18965.0,18965.0,20781.0,60973.0,16305.0,44845.0,4101.0,-14690.0
2006-02-17,11956.0,11956.0,8051.0,66476.0,8932.0,40464.0,4011.0,-31188.0
2006-02-20,11956.0,11956.0,8051.0,66476.0,8932.0,40464.0,4011.0,-31188.0
2006-02-21,11956.0,11956.0,8051.0,66476.0,8932.0,40464.0,4011.0,-31188.0
2006-02-22,11956.0,11956.0,8051.0,66476.0,8932.0,40464.0,4011.0,-31188.0
2006-02-23,11956.0,11956.0,8051.0,66476.0,8932.0,40464.0,4011.0,-31188.0
2006-02-24,10085.0,10085.0,4001.0,64703.0,6760.0,35197.0,3623.0,-36975.0
2006-02-27,10085.0,10085.0,4001.0,64703.0,6760.0,35197.0,3623.0,-36975.0
2006-02-28,10085.0,10085.0,4001.0,64703.0,6760.0,35197.0,3623.0,-36975.0
2006-03-01,10085.0,10085.0,4001.0,64703.0,6760.0,35197.0,3623.0,-36975.0
2006-03-02,10085.0,10085.0,4001.0,64703.0,6760.0,35197.0,3623.0,-36975.0
2006-03-03,18402.0,18402.0,1375.0,62905.0,15139.0,40634.0,2900.0,-68262.0
2006-03-06,18402.0,18402.0,1375.0,62905.0,15139.0,40634.0,2900.0,-68262.0
2006-03-07,18402.0,18402.0,1375.0,62905.0,15139.0,40634.0,2900.0,-68262.0
2006-03-08,18402.0,18402.0,1375.0,62905.0,15139.0,40634.0,2900.0,-68262.0
2006-03-09,18402.0,18402.0,1375.0,62905.0,15139.0,40634.0,2900.0,-68262.0
2006-03-10,13878.0,13878.0,-2896.0,34560.0,11133.0,41323.0,2846.0,-46223.0
2006-03-13,13878.0,13878.0,-2896.0,34560.0,11133.0,41323.0,2846.0,-46223.0
2006-03-14,13878.0,13878.0,-2896.0,34560.0,11133.0,41323.0,2846.0,-46223.0
2006-03-15,13878.0,13878.0,-2896.0,34560.0,11133.0,41323.0,2846.0,-46223.0
2006-03-16,13878.0,13878.0,-2896.0,34560.0,11133.0,41323.0,2846.0,-46223.0
2006-03-17,27984.0,27984.0,1634.0,29930.0,24879.0,14021.0,2603.0,-48378.0
2006-03-20,27984.0,27984.0,1634.0,29930.0,24879.0,14021.0,2603.0,-48378.0
2006-03-21,27984.0,27984.0,1634.0,29930.0,24879.0,14021.0,2603.0,-48378.0
2006-03-22,27984.0,27984.0,1634.0,29930.0,24879.0,14021.0,2603.0,-48378.0
2006-03-23,27984.0,27984.0,1634.0,29930.0,24879.0,14021.0,2603.0,-48378.0
2006-03-24,41452.0,41452.0,-11327.0,21010.0,37626.0,-3742.0,1737.0,-46865.0
2006-03-27,41452.0,41452.0,-11327.0,21010.0,37626.0,-3742.0,1737.0,-46865.0
2006-03-28,41452.0,41452.0,-11327.0,21010.0,37626.0,-3742.0,1737.0,-46865.0
2006-03-29,41452.0,41452.0,-11327.0,21010.0,37626.0,-3742.0,1737.0,-46865.0
2006-03-30,41452.0,41452.0,-11327.0,21010.0,37626.0,-3742.0,1737.0,-46865.0
2006-03-31,40811.0,40811.0,-13332.0,11222.0,36614.0,-7811.0,899.0,-45335.0
2006-04-03,40811.0,40811.0,-13332.0,11222.0,36614.0,-7811.0,899.0,-45335.0
2006-04-04,40811.0,40811.0,-13332.0,11222.0,36614.0,-7811.0,899.0,-45335.0
2006-04-05,40811.0,40811.0,-13332.0,11222.0,36614.0,-7811.0,899.0,-45335.0
2006-04-06,40811.0,40811.0,-13332.0,11222.0,36614.0,-7811.0,899.0,-45335.0
